index	words	numbers
0th	eight	8
1th	eight hundred	800
2th	eight hundred and eight	808
3th	eight hundred and eighteen	818
4th	eight hundred and eighty	880
5th	eight hundred and eighty-eight	888
6th	eight hundred and eighty-five	885
7th	eight hundred and eighty-four	884
8th	eight hundred and eighty-nine	889
9th	eight hundred and eighty-one	881
10th	eight hundred and eighty-seven	887
11th	eight hundred and eighty-six	886
12th	eight hundred and eighty-three	883
13th	eight hundred and eighty-two	882
14th	eight hundred and eleven	811
15th	eight hundred and fifteen	815
16th	eight hundred and fifty	850
17th	eight hundred and fifty-eight	858
18th	eight hundred and fifty-five	855
19th	eight hundred and fifty-four	854
20th	eight hundred and fifty-nine	859
21th	eight hundred and fifty-one	851
22th	eight hundred and fifty-seven	857
23th	eight hundred and fifty-six	856
24th	eight hundred and fifty-three	853
25th	eight hundred and fifty-two	852
26th	eight hundred and five	805
27th	eight hundred and forty	840
28th	eight hundred and forty-eight	848
29th	eight hundred and forty-five	845
30th	eight hundred and forty-four	844
31th	eight hundred and forty-nine	849
32th	eight hundred and forty-one	841
33th	eight hundred and forty-seven	847
34th	eight hundred and forty-six	846
35th	eight hundred and forty-three	843
36th	eight hundred and forty-two	842
37th	eight hundred and four	804
38th	eight hundred and fourteen	814
39th	eight hundred and nine	809
40th	eight hundred and nineteen	819
41th	eight hundred and ninety	890
42th	eight hundred and ninety-eight	898
43th	eight hundred and ninety-five	895
44th	eight hundred and ninety-four	894
45th	eight hundred and ninety-nine	899
46th	eight hundred and ninety-one	891
47th	eight hundred and ninety-seven	897
48th	eight hundred and ninety-six	896
49th	eight hundred and ninety-three	893
50th	eight hundred and ninety-two	892
51th	eight hundred and one	801
52th	eight hundred and seven	807
53th	eight hundred and seventeen	817
54th	eight hundred and seventy	870
55th	eight hundred and seventy-eight	878
56th	eight hundred and seventy-five	875
57th	eight hundred and seventy-four	874
58th	eight hundred and seventy-nine	879
59th	eight hundred and seventy-one	871
60th	eight hundred and seventy-seven	877
61th	eight hundred and seventy-six	876
62th	eight hundred and seventy-three	873
63th	eight hundred and seventy-two	872
64th	eight hundred and six	806
65th	eight hundred and sixteen	816
66th	eight hundred and sixty	860
67th	eight hundred and sixty-eight	868
68th	eight hundred and sixty-five	865
69th	eight hundred and sixty-four	864
70th	eight hundred and sixty-nine	869
71th	eight hundred and sixty-one	861
72th	eight hundred and sixty-seven	867
73th	eight hundred and sixty-six	866
74th	eight hundred and sixty-three	863
75th	eight hundred and sixty-two	862
76th	eight hundred and ten	810
77th	eight hundred and thirteen	813
78th	eight hundred and thirty	830
79th	eight hundred and thirty-eight	838
80th	eight hundred and thirty-five	835
81th	eight hundred and thirty-four	834
82th	eight hundred and thirty-nine	839
83th	eight hundred and thirty-one	831
84th	eight hundred and thirty-seven	837
85th	eight hundred and thirty-six	836
86th	eight hundred and thirty-three	833
87th	eight hundred and thirty-two	832
88th	eight hundred and three	803
89th	eight hundred and twelve	812
90th	eight hundred and twenty	820
91th	eight hundred and twenty-eight	828
92th	eight hundred and twenty-five	825
93th	eight hundred and twenty-four	824
94th	eight hundred and twenty-nine	829
95th	eight hundred and twenty-one	821
96th	eight hundred and twenty-seven	827
97th	eight hundred and twenty-six	826
98th	eight hundred and twenty-three	823
99th	eight hundred and twenty-two	822
100th	eight hundred and two	802
101th	eight thousand	8000
102th	eight thousand and eight	8008
103th	eight thousand and eighteen	8018
104th	eight thousand and eighty	8080
105th	eight thousand and eighty-eight	8088
106th	eight thousand and eighty-five	8085
107th	eight thousand and eighty-four	8084
108th	eight thousand and eighty-nine	8089
109th	eight thousand and eighty-one	8081
110th	eight thousand and eighty-seven	8087
111th	eight thousand and eighty-six	8086
112th	eight thousand and eighty-three	8083
113th	eight thousand and eighty-two	8082
114th	eight thousand and eleven	8011
115th	eight thousand and fifteen	8015
116th	eight thousand and fifty	8050
117th	eight thousand and fifty-eight	8058
118th	eight thousand and fifty-five	8055
119th	eight thousand and fifty-four	8054
120th	eight thousand and fifty-nine	8059
121th	eight thousand and fifty-one	8051
122th	eight thousand and fifty-seven	8057
123th	eight thousand and fifty-six	8056
124th	eight thousand and fifty-three	8053
125th	eight thousand and fifty-two	8052
126th	eight thousand and five	8005
127th	eight thousand and forty	8040
128th	eight thousand and forty-eight	8048
129th	eight thousand and forty-five	8045
130th	eight thousand and forty-four	8044
131th	eight thousand and forty-nine	8049
132th	eight thousand and forty-one	8041
133th	eight thousand and forty-seven	8047
134th	eight thousand and forty-six	8046
135th	eight thousand and forty-three	8043
136th	eight thousand and forty-two	8042
137th	eight thousand and four	8004
138th	eight thousand and fourteen	8014
139th	eight thousand and nine	8009
140th	eight thousand and nineteen	8019
141th	eight thousand and ninety	8090
142th	eight thousand and ninety-eight	8098
143th	eight thousand and ninety-five	8095
144th	eight thousand and ninety-four	8094
145th	eight thousand and ninety-nine	8099
146th	eight thousand and ninety-one	8091
147th	eight thousand and ninety-seven	8097
148th	eight thousand and ninety-six	8096
149th	eight thousand and ninety-three	8093
150th	eight thousand and ninety-two	8092
151th	eight thousand and one	8001
152th	eight thousand and seven	8007
153th	eight thousand and seventeen	8017
154th	eight thousand and seventy	8070
155th	eight thousand and seventy-eight	8078
156th	eight thousand and seventy-five	8075
157th	eight thousand and seventy-four	8074
158th	eight thousand and seventy-nine	8079
159th	eight thousand and seventy-one	8071
160th	eight thousand and seventy-seven	8077
161th	eight thousand and seventy-six	8076
162th	eight thousand and seventy-three	8073
163th	eight thousand and seventy-two	8072
164th	eight thousand and six	8006
165th	eight thousand and sixteen	8016
166th	eight thousand and sixty	8060
167th	eight thousand and sixty-eight	8068
168th	eight thousand and sixty-five	8065
169th	eight thousand and sixty-four	8064
170th	eight thousand and sixty-nine	8069
171th	eight thousand and sixty-one	8061
172th	eight thousand and sixty-seven	8067
173th	eight thousand and sixty-six	8066
174th	eight thousand and sixty-three	8063
175th	eight thousand and sixty-two	8062
176th	eight thousand and ten	8010
177th	eight thousand and thirteen	8013
178th	eight thousand and thirty	8030
179th	eight thousand and thirty-eight	8038
180th	eight thousand and thirty-five	8035
181th	eight thousand and thirty-four	8034
182th	eight thousand and thirty-nine	8039
183th	eight thousand and thirty-one	8031
